Name;RG;StrasseHausnummer;PLZ;Ort;Land;AdresseVoll;Latitude;Longitude
WER083;WER;Schwerter Straße 192;58099;Hagen;DE;Schwerter Straße 192, 58099 Hagen, DE;51.3997117;7.4771963
WER084;WER;Ophauser Straße 36;58089;Hagen;DE;Ophauser Straße 36, 58089 Hagen, DE;51.3866230;7.4358964
WER087;WER;Boeler Straße 121;58097;Hagen;DE;Boeler Straße 121, 58097 Hagen, DE;51.3779323;7.4735437
WER088;WER;Enneper Straße 146a;58135;Hagen;DE;Enneper Straße 146a, 58135 Hagen, DE;51.3405022;7.3946782
WER093;WER;Poststraße 59;57319;Bad Berleburg;DE;Poststraße 59, 57319 Bad Berleburg, DE;51.0544924;8.3939297
WEY006;WEY;Osenbrückstraße 5;28309;Bremen;DE;Osenbrückstraße 5, 28309 Bremen, DE;53.0598334;8.8879706
WEY009;WEY;Alter Dorfweg 30-50;28259;Bremen;DE;Alter Dorfweg 30-50, 28259 Bremen, DE;53.0483493;8.7444784
WEY010;WEY;Westerstraße 33;28199;Bremen;DE;Westerstraße 33, 28199 Bremen, DE;53.0740205;8.7977761
WEY011;WEY;Theodor-Heuss-Allee 6;28215;Bremen;DE;Theodor-Heuss-Allee 6, 28215 Bremen, DE;53.0846026;8.8140737
WEY014;WEY;Konsul-Smidt-Straße 8;28217;Bremen;DE;Konsul-Smidt-Straße 8, 28217 Bremen, DE;53.0876467;8.7807371
WEY015;WEY;Waller Heerstraße 101;28219;Bremen;DE;Waller Heerstraße 101, 28219 Bremen, DE;53.1017011;8.7868165
WEY020;WEY;Kattenturmer Heerstraße 326;28277;Bremen;DE;Kattenturmer Heerstraße 326, 28277 Bremen, DE;53.0320201;8.8111323
WEY027;WEY;Hammersbecker Straße 87;28755;Bremen;DE;Hammersbecker Straße 87, 28755 Bremen, DE;53.1844195;8.6178941
WEY030;WEY;Emil-von-Behring-Straße 4;28207;Bremen;DE;Emil-von-Behring-Straße 4, 28207 Bremen, DE;53.0683975;8.8649816
WEY036;WEY;Hans-Bredow-Straße 19;28307;Bremen;DE;Hans-Bredow-Straße 19, 28307 Bremen, DE;53.0491609;8.9580398
WEY037;WEY;Schevemoorer Landstraße 14-20;28325;Bremen;DE;Schevemoorer Landstraße 14-20, 28325 Bremen, DE;53.0781242;8.9432065
WEY039;WEY;Berliner Freiheit 14;28327;Bremen;DE;Berliner Freiheit 14, 28327 Bremen, DE;53.0800960;8.8937767
WEY040;WEY;Vahrer Straße 279/281;28329;Bremen;DE;Vahrer Straße 279/281, 28329 Bremen, DE;53.0764092;8.8834458
